account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Cash;Restaurant, fast-food;PHP;-95.00;-95.00;Expenses;CASH;Cash;mozza;2025-07-20 22:51:00;;;;0;false;;;1001;false
Cash;Bar, cafe;PHP;-585.00;-585.00;Expenses;CASH;Cash;starbucks;2025-07-20 22:49:00;;;;0;false;;;1002;false
Cash;Restaurant, fast-food;PHP;-627.00;-627.00;Expenses;CASH;Cash;ramen kuroda;2025-07-20 22:49:00;;;;0;false;;;1001;false
Cash;TV, Streaming;PHP;-860.00;-860.00;Expenses;CASH;Cash;cinema;2025-07-20 22:47:00;;;;0;false;;;6008;false
Cash;Software, apps, games;PHP;-279.00;-279.00;Expenses;CASH;Cash;;2025-07-19 12:00:00;;;;0;false;;;7003;false
Cash;Restaurant, fast-food;PHP;-649.00;-649.00;Expenses;CASH;Cash;ambers palabok;2025-07-18 12:02:58;;;;0;false;;;1001;false
Cash;Sports + Active;PHP;-875.00;-875.00;Expenses;CASH;Cash;string;2025-07-18 12:00:30;;;;0;false;;;6003;false
Cash;Restaurant, fast-food;PHP;-1548.00;-1548.00;Expenses;CASH;Cash;angels pizza;2025-07-18 11:59:49;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-964.00;-964.00;Expenses;CASH;Cash;jollibee;2025-07-18 11:56:16;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-585.00;-585.00;Expenses;CASH;Cash;starbucks;2025-07-17 10:29:34;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-2042.00;-2042.00;Expenses;CASH;Cash;dampa;2025-07-17 10:29:23;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-140.00;-140.00;Expenses;CASH;Cash;resort breakfast;2025-07-17 10:28:52;;;;0;false;;;1001;false
Cash;Groceries;PHP;-357.00;-357.00;Expenses;CASH;Cash;waltermart;2025-07-16 12:28:21;;;;0;false;;;1000;false
Cash;Electronics, accessories;PHP;-3365.00;-3365.00;Expenses;CASH;Cash;;2025-07-16 12:00:00;;;;0;false;;;2006;false
Cash;Bar, cafe;PHP;-585.00;-585.00;Expenses;CASH;Cash;starbucks;2025-07-16 10:48:36;;;;0;false;;;1002;false
Cash;Restaurant, fast-food;PHP;-380.00;-380.00;Expenses;CASH;Cash;dinner resort;2025-07-16 10:28:53;;;;0;false;;;1001;false
Cash;Parking;PHP;-40.00;-40.00;Expenses;CASH;Cash;;2025-07-16 10:27:57;;;;0;false;;;5001;false
Cash;Drug-store, chemist;PHP;-427.00;-427.00;Expenses;CASH;Cash;condom;2025-07-16 10:27:02;;;;0;false;;;2011;false
Cash;Holiday, trips, hotels;PHP;-250.00;-250.00;Expenses;CASH;Cash;crosswinds;2025-07-16 09:31:17;;;;0;false;;;6009;false
Cash;Fuel;PHP;-2382.00;-2382.00;Expenses;CASH;Cash;;2025-07-16 09:30:58;;;;0;false;;;5000;false
Cash;Food & Drinks;PHP;-1360.00;-1360.00;Expenses;CASH;Cash;coffee project;2025-07-16 09:23:48;;;;0;false;;;1003;false
Cash;Toll;PHP;-963.00;-963.00;Expenses;CASH;Cash;toll;2025-07-16 06:43:18;;;;0;false;;;8006;false
Cash;Transportation;PHP;-151.00;-151.00;Expenses;CASH;Cash;;2025-07-15 22:37:42;;;;0;false;;;4004;false
Cash;Restaurant, fast-food;PHP;-340.00;-340.00;Expenses;CASH;Cash;team blue;2025-07-15 20:56:24;;;;0;false;;;1001;false
Cash;Sports + Active;PHP;-138.00;-138.00;Expenses;CASH;Cash;;2025-07-15 06:40:25;;;;0;false;;;6003;false
Cash;Transportation;PHP;-660.00;-660.00;Expenses;CASH;Cash;;2025-07-14 23:18:11;;;;0;false;;;4004;false
Cash;Restaurant, fast-food;PHP;-450.00;-450.00;Expenses;CASH;Cash;mang inasal;2025-07-14 23:14:29;;;;0;false;;;1001;false
Cash;Income;PHP;59107.42;59107.42;Income;CASH;Cash;;2025-07-14 09:19:21;;;;0;false;;;10011;false
Cash;Sports + Active;PHP;-688.00;-688.00;Expenses;CASH;Cash;decathlon;2025-07-13 23:19:52;;;;0;false;;;6003;false
Cash;Restaurant, fast-food;PHP;-190.00;-190.00;Expenses;CASH;Cash;turks;2025-07-13 22:19:47;;;;0;false;;;1001;false
Cash;Groceries;PHP;-260.00;-260.00;Expenses;CASH;Cash;mercury;2025-07-13 19:24:33;;;;0;false;;;1000;false
Cash;Restaurant, fast-food;PHP;-407.00;-407.00;Expenses;CASH;Cash;24 chicken;2025-07-13 18:15:38;;;;0;false;;;1001;false
Cash;Sports + Active;PHP;-95.00;-95.00;Expenses;CASH;Cash;towel grip;2025-07-13 15:57:28;;;;0;false;;;6003;false
Cash;Restaurant, fast-food;PHP;-275.00;-275.00;Expenses;CASH;Cash;butterboy;2025-07-13 15:41:47;;;;0;false;;;1001;false
Cash;Bar, cafe;PHP;-70.00;-70.00;Expenses;CASH;Cash;lemon;2025-07-13 15:38:27;;;;0;false;;;1002;false
Cash;Restaurant, fast-food;PHP;-1680.00;-1680.00;Expenses;CASH;Cash;decathlon;2025-07-13 15:37:42;;;;0;false;;;1001;false
Cash;Sports + Active;PHP;-355.00;-355.00;Expenses;CASH;Cash;;2025-07-13 08:15:28;;;;0;false;;;6003;false
Cash;Vehicle maintenance;PHP;-300.00;-300.00;Expenses;CASH;Cash;car wash;2025-07-12 14:30:18;;;;0;false;;;5002;false
Cash;Restaurant, fast-food;PHP;-368.00;-368.00;Expenses;CASH;Cash;llaollao;2025-07-12 14:29:52;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-625.00;-625.00;Expenses;CASH;Cash;marugame;2025-07-12 14:29:36;;;;0;false;;;1001;false
Cash;Transportation;PHP;-143.00;-143.00;Expenses;CASH;Cash;;2025-07-12 13:46:20;;;;0;false;;;4004;false
Cash;Sports + Active;PHP;-330.00;-330.00;Expenses;CASH;Cash;;2025-07-12 10:51:08;;;;0;false;;;6003;false
Cash;Groceries;PHP;-202.00;-202.00;Expenses;CASH;Cash;mercury;2025-07-11 20:11:19;;;;0;false;;;1000;false
Cash;Restaurant, fast-food;PHP;-1300.00;-1300.00;Expenses;CASH;Cash;samgyupsalamat;2025-07-11 13:48:40;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-463.00;-463.00;Expenses;CASH;Cash;jollibee;2025-07-10 17:57:56;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-272.00;-272.00;Expenses;CASH;Cash;DQ;2025-07-09 21:07:33;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-490.00;-490.00;Expenses;CASH;Cash;mang inasal;2025-07-09 21:07:20;;;;0;false;;;1001;false
Cash;Bar, cafe;PHP;-80.00;-80.00;Expenses;CASH;Cash;;2025-07-09 16:29:37;;;;0;false;;;1002;false
Cash;Transportation;PHP;-80.00;-80.00;Expenses;CASH;Cash;;2025-07-09 16:28:47;;;;0;false;;;4004;false
Cash;Sports + Active;PHP;-113.00;-113.00;Expenses;CASH;Cash;;2025-07-08 20:13:25;;;;0;false;;;6003;false
Cash;Parking;PHP;-60.00;-60.00;Expenses;CASH;Cash;;2025-07-08 20:12:51;;;;0;false;;;5001;false
Cash;Groceries;PHP;-226.00;-226.00;Expenses;CASH;Cash;mercury;2025-07-07 21:06:57;;;;0;false;;;1000;false
Cash;Restaurant, fast-food;PHP;-307.00;-307.00;Expenses;CASH;Cash;mcdo;2025-07-07 11:18:46;;;;0;false;;;1001;false
Cash;Phone, cell phone;PHP;-100.00;-100.00;Expenses;CASH;Cash;eSim;2025-07-06 23:24:52;;;;0;false;;;7001;false
Cash;Restaurant, fast-food;PHP;-879.00;-879.00;Expenses;CASH;Cash;peri peri;2025-07-06 17:47:35;;;;0;false;;;1001;false
Cash;Vehicle maintenance;PHP;-620.00;-620.00;Expenses;CASH;Cash;car scent;2025-07-06 16:16:49;;;;0;false;;;5002;false
Cash;Transportation;PHP;-151.00;-151.00;Expenses;CASH;Cash;;2025-07-05 21:05:58;;;;0;false;;;4004;false
Cash;Restaurant, fast-food;PHP;-627.00;-627.00;Expenses;CASH;Cash;ramen kuroda;2025-07-05 19:09:09;;;;0;false;;;1001;false
Cash;Sports + Active;PHP;-260.00;-260.00;Expenses;CASH;Cash;towel grip;2025-07-05 19:06:46;;;;0;false;;;6003;false
Cash;Groceries;PHP;-220.00;-220.00;Expenses;CASH;Cash;egg tart;2025-07-05 19:06:20;;;;0;false;;;1000;false
Cash;Sports + Active;PHP;-330.00;-330.00;Expenses;CASH;Cash;;2025-07-05 19:06:08;;;;0;false;;;6003;false
Cash;Holiday, trips, hotels;PHP;-1077.00;-1077.00;Expenses;CASH;Cash;PH badminton team tagaytay;2025-07-05 18:36:08;;;;0;false;;;6009;false
Cash;Restaurant, fast-food;PHP;-510.00;-510.00;Expenses;CASH;Cash;yi fang;2025-07-04 20:35:30;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-450.00;-450.00;Expenses;CASH;Cash;chooks to go;2025-07-04 16:54:00;;;;0;false;;;1001;false
Cash;Groceries;PHP;-600.00;-600.00;Expenses;CASH;Cash;7 eleven;2025-07-03 16:46:05;;;;0;false;;;1000;false
Cash;Parking;PHP;-150.00;-150.00;Expenses;CASH;Cash;;2025-07-03 16:45:56;;;;0;false;;;5001;false
Cash;Restaurant, fast-food;PHP;-531.00;-531.00;Expenses;CASH;Cash;jollibee;2025-07-02 20:24:49;;;;0;false;;;1001;false
Cash;Groceries;PHP;-60.00;-60.00;Expenses;CASH;Cash;badminton drink;2025-07-02 19:59:22;;;;0;false;;;1000;false
Cash;Sports + Active;PHP;-150.00;-150.00;Expenses;CASH;Cash;;2025-07-02 19:59:08;;;;0;false;;;6003;false
Cash;Transportation;PHP;-205.00;-205.00;Expenses;CASH;Cash;;2025-07-02 19:58:55;;;;0;false;;;4004;false
Cash;Restaurant, fast-food;PHP;-600.00;-600.00;Expenses;CASH;Cash;mcdo;2025-07-01 23:50:12;;;;0;false;;;1001;false
Cash;Parking;PHP;-60.00;-60.00;Expenses;CASH;Cash;;2025-07-01 23:50:02;;;;0;false;;;5001;false
Cash;Sports + Active;PHP;-95.00;-95.00;Expenses;CASH;Cash;towel grip;2025-07-01 23:49:37;;;;0;false;;;6003;false
Cash;Groceries;PHP;-550.00;-550.00;Expenses;CASH;Cash;snacks;2025-06-30 21:10:15;;;;0;false;;;1000;false
Cash;Sports + Active;PHP;-310.00;-310.00;Expenses;CASH;Cash;;2025-06-30 21:09:26;;;;0;false;;;6003;false
Cash;Clothes & shoes;PHP;-1240.00;-1240.00;Expenses;CASH;Cash;decathlon;2025-06-29 21:09:11;;;;0;false;;;2000;false
Cash;Clothes & shoes;PHP;-10704.00;-10704.00;Expenses;CASH;Cash;yonex shoes;2025-06-29 21:07:40;;;;0;false;;;2000;false
Cash;Parking;PHP;-220.00;-220.00;Expenses;CASH;Cash;;2025-06-29 21:06:21;;;;0;false;;;5001;false
Cash;Restaurant, fast-food;PHP;-835.00;-835.00;Expenses;CASH;Cash;yellow cab;2025-06-29 21:05:53;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-198.00;-198.00;Expenses;CASH;Cash;potato corner;2025-06-29 21:05:32;;;;0;false;;;1001;false
Cash;Fuel;PHP;-2640.00;-2640.00;Expenses;CASH;Cash;;2025-06-29 13:46:44;;;;0;false;;;5000;false
Cash;Restaurant, fast-food;PHP;-300.00;-300.00;Expenses;CASH;Cash;chooks to go;2025-06-29 08:26:15;;;;0;false;;;1001;false
Cash;Sports + Active;PHP;-330.00;-330.00;Expenses;CASH;Cash;;2025-06-28 17:14:05;;;;0;false;;;6003;false
Cash;Transportation;PHP;-151.00;-151.00;Expenses;CASH;Cash;;2025-06-28 17:13:49;;;;0;false;;;4004;false
Cash;Restaurant, fast-food;PHP;-190.00;-190.00;Expenses;CASH;Cash;Ritas;2025-06-28 13:55:21;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-1300.00;-1300.00;Expenses;CASH;Cash;samgyupsalamat;2025-06-28 13:54:58;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-500.00;-500.00;Expenses;CASH;Cash;snacks and angels burger;2025-06-27 20:46:11;;;;0;false;;;1001;false
Cash;Allowance;PHP;-5500.00;-5500.00;Expenses;CASH;Cash;;2025-06-27 12:00:00;;;;0;false;;;8007;false
Cash;Vehicle;PHP;-27439.00;-27439.00;Expenses;CASH;Cash;;2025-06-27 12:00:00;;;;0;false;;;5004;false
Cash;Parking;PHP;-4500.00;-4500.00;Expenses;CASH;Cash;;2025-06-27 12:00:00;;;;0;false;;;5001;false
Cash;Internet;PHP;-2000.00;-2000.00;Expenses;CASH;Cash;;2025-06-27 12:00:00;;;;0;false;;;7002;false
Cash;Allowance;PHP;-1500.00;-1500.00;Expenses;CASH;Cash;;2025-06-27 12:00:00;;;;0;false;;;8007;false
Cash;Housing;PHP;-6000.00;-6000.00;Expenses;CASH;Cash;;2025-06-27 12:00:00;;;;0;false;;;3005;false
Cash;Income;PHP;50444.00;50444.00;Income;CASH;Cash;;2025-06-27 10:53:33;;;;0;false;;;10011;false
Cash;Restaurant, fast-food;PHP;-479.00;-479.00;Expenses;CASH;Cash;mang inasal;2025-06-26 13:24:00;;;;0;false;;;1001;false
Cash;Sports + Active;PHP;-100.00;-100.00;Expenses;CASH;Cash;water;2025-06-26 10:51:27;;;;0;false;;;6003;false
Cash;Transportation;PHP;-166.00;-166.00;Expenses;CASH;Cash;;2025-06-25 22:29:22;;;;0;false;;;4004;false
Cash;Software, apps, games;PHP;-120.00;-120.00;Expenses;CASH;Cash;;2025-06-25 12:00:00;;;;0;false;;;7003;false
Cash;Software, apps, games;PHP;-200.00;-200.00;Expenses;CASH;Cash;;2025-06-25 12:00:00;;;;0;false;;;7003;false
Cash;Vehicle maintenance;PHP;-6000.00;-6000.00;Expenses;CASH;Cash;Parking incident;2025-06-25 11:09:29;;;;0;false;;;5002;false
Cash;Groceries;PHP;-238.25;-238.25;Expenses;CASH;Cash;no brand;2025-06-24 11:37:33;;;;0;false;;;1000;false
Cash;Restaurant, fast-food;PHP;-390.00;-390.00;Expenses;CASH;Cash;marugame;2025-06-24 11:37:10;;;;0;false;;;1001;false
Cash;Groceries;PHP;-3007.00;-3007.00;Expenses;CASH;Cash;;2025-06-23 11:41:06;;;;0;false;;;1000;false
Cash;Restaurant, fast-food;PHP;-248.00;-248.00;Expenses;CASH;Cash;greenwich;2025-06-23 11:35:39;;;;0;false;;;1001;false
Cash;Bar, cafe;PHP;-425.00;-425.00;Expenses;CASH;Cash;starbucks;2025-06-22 17:07:13;;;;0;false;;;1002;false
Cash;Vehicle;PHP;-213.00;-213.00;Expenses;CASH;Cash;autosweep;2025-06-22 15:16:58;;;;0;false;;;5004;false
Cash;Groceries;PHP;-201.00;-201.00;Expenses;CASH;Cash;;2025-06-22 12:39:15;;;;0;false;;;1000;false
Cash;Restaurant, fast-food;PHP;-762.00;-762.00;Expenses;CASH;Cash;mang inasal with family;2025-06-22 04:06:37;;;;0;false;;;1001;false
Cash;Transportation;PHP;-539.00;-539.00;Expenses;CASH;Cash;from/to sogo;2025-06-21 23:07:41;;;;0;false;;;4004;false
Cash;Sports + Active;PHP;-330.00;-330.00;Expenses;CASH;Cash;;2025-06-21 13:50:01;;;;0;false;;;6003;false
Cash;Transportation;PHP;-150.00;-150.00;Expenses;CASH;Cash;;2025-06-21 13:49:52;;;;0;false;;;4004;false
Cash;Bar, cafe;PHP;-200.00;-200.00;Expenses;CASH;Cash;fruitas;2025-06-21 13:49:26;;;;0;false;;;1002;false
Cash;TV, Streaming;PHP;-840.00;-840.00;Expenses;CASH;Cash;28 years later;2025-06-21 10:00:00;;;;0;false;;;6008;false
Cash;Restaurant, fast-food;PHP;-731.00;-731.00;Expenses;CASH;Cash;ramen kuroda;2025-06-21 10:00:00;;;;0;false;;;1001;false
Cash;Holiday, trips, hotels;PHP;-835.00;-835.00;Expenses;CASH;Cash;sogo;2025-06-21 10:00:00;;;;0;false;;;6009;false
Cash;Health and beauty;PHP;-511.00;-511.00;Expenses;CASH;Cash;watsons;2025-06-21 10:00:00;;;;0;false;;;2002;false
Cash;Restaurant, fast-food;PHP;-336.00;-336.00;Expenses;CASH;Cash;mcdo;2025-06-21 10:00:00;;;;0;false;;;1001;false
Cash;Transportation;PHP;-330.00;-330.00;Expenses;CASH;Cash;;2025-06-20 21:43:44;;;;0;false;;;4004;false
Cash;Restaurant, fast-food;PHP;-321.00;-321.00;Expenses;CASH;Cash;mcdo;2025-06-20 21:27:14;;;;0;false;;;1001;false
Cash;Food & Drinks;PHP;-100.00;-100.00;Expenses;CASH;Cash;brownies;2025-06-20 21:23:48;;;;0;false;;;1003;false
Cash;Health and beauty;PHP;-495.00;-495.00;Expenses;CASH;Cash;rachelle lipstick;2025-06-20 21:23:13;;;;0;false;;;2002;false
Cash;Food & Drinks;PHP;-239.00;-239.00;Expenses;CASH;Cash;llaollao;2025-06-20 21:22:46;;;;0;false;;;1003;false
Cash;Health and beauty;PHP;-900.00;-900.00;Expenses;CASH;Cash;rachelle lipstick;2025-06-20 21:22:38;;;;0;false;;;2002;false
Cash;Food & Drinks;PHP;-699.00;-699.00;Expenses;CASH;Cash;peri peri;2025-06-20 21:22:21;;;;0;false;;;1003;false
Cash;TV, Streaming;PHP;-300.00;-300.00;Expenses;CASH;Cash;netflix;2025-06-19 21:46:30;;;;0;false;;;6008;false
Cash;Restaurant, fast-food;PHP;-626.00;-626.00;Expenses;CASH;Cash;jiang nan;2025-06-19 21:28:25;;;;0;false;;;1001;false
Cash;Sports + Active;PHP;-172.00;-172.00;Expenses;CASH;Cash;;2025-06-19 21:28:00;;;;0;false;;;6003;false
Cash;Software, apps, games;PHP;-279.00;-279.00;Expenses;CASH;Cash;;2025-06-19 12:00:00;;;;0;false;;;7003;false
Cash;Restaurant, fast-food;PHP;-230.00;-230.00;Expenses;CASH;Cash;7 eleven;2025-06-18 21:47:39;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-300.00;-300.00;Expenses;CASH;Cash;mcdo;2025-06-18 21:26:51;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;PHP;-677.00;-677.00;Expenses;CASH;Cash;zark;2025-06-17 21:26:20;;;;0;false;;;1001;false
Cash;Sports + Active;PHP;-273.00;-273.00;Expenses;CASH;Cash;;2025-06-17 21:24:56;;;;0;false;;;6003;false
Cash;Life events;PHP;-2500.00;-2500.00;Expenses;CASH;Cash;nanay birthday;2025-06-16 20:31:02;;;;0;false;;;6004;false
Cash;Phone, cell phone;PHP;-3364.00;-3364.00;Expenses;CASH;Cash;;2025-06-16 20:30:39;;;;0;false;;;7001;false
Cash;Vehicle maintenance;PHP;-4384.00;-4384.00;Expenses;CASH;Cash;battery;2025-06-16 20:30:02;;;;0;false;;;5002;false
Cash;Food & Drinks;PHP;-1462.00;-1462.00;Expenses;CASH;Cash;;2025-06-16 09:09:34;;;;0;false;;;1003;false
Cash;Fuel;PHP;-2215.00;-2215.00;Expenses;CASH;Cash;;2025-06-14 23:55:48;;;;0;false;;;5000;false
Cash;Taxi;PHP;-300.00;-300.00;Expenses;CASH;Cash;;2025-06-14 23:53:05;;;;0;false;;;4001;false
Cash;Wellness, beauty;PHP;-2200.00;-2200.00;Expenses;CASH;Cash;;2025-06-14 23:45:00;;;;0;false;;;6001;false
Cash;Sports + Active;PHP;-190.00;-190.00;Expenses;CASH;Cash;;2025-06-14 16:29:29;;;;0;false;;;6003;false
Cash;Sports + Active;PHP;-345.00;-345.00;Expenses;CASH;Cash;;2025-06-13 20:55:26;;;;0;false;;;6003;false
Cash;Income;PHP;61790.00;61790.00;Income;CASH;Cash;;2025-06-13 13:18:24;;;;0;false;;;10011;false
Cash;Wellness, beauty;PHP;-1600.00;-1600.00;Expenses;CASH;Cash;nuat thai;2025-06-12 13:17:08;;;;0;false;;;6001;false
Cash;Transportation;PHP;-349.00;-349.00;Expenses;CASH;Cash;Rachelle to MyTown LA;2025-06-12 13:11:37;;;;0;false;;;4004;false
Cash;Groceries;PHP;-1018.00;-1018.00;Expenses;CASH;Cash;7 eleven;2025-06-11 23:16:41;;;;0;false;;;1000;false
Cash;Active sport, fitness;PHP;1756.00;1756.00;Income;CASH;Cash;refund;2025-06-11 17:30:00;;;;0;false;;;6002;false
Cash;Restaurant, fast-food;PHP;-738.00;-738.00;Expenses;CASH;Cash;mang inasal with family;2025-06-11 17:30:00;;;;0;false;;;1001;false
Cash;Transportation;PHP;-380.00;-380.00;Expenses;CASH;Cash;SM Makati to Rachelle House;2025-06-11 13:09:49;;;;0;false;;;4004;false
Cash;Sports + Active;PHP;-288.00;-288.00;Expenses;CASH;Cash;;2025-06-10 17:15:00;;;;0;false;;;6003;false
Cash;Sports + Active;PHP;-161.00;-161.00;Expenses;CASH;Cash;;2025-06-10 17:15:00;;;;0;false;;;6003;false
Cash;Restaurant, fast-food;PHP;-399.00;-399.00;Expenses;CASH;Cash;;2025-06-09 17:30:00;;;;0;false;;;1001;false
Cash;Sports + Active;PHP;-85.00;-85.00;Expenses;CASH;Cash;court sharing;2025-06-09 17:15:00;;;;0;false;;;6003;false
Cash;Food & Drinks;PHP;-250.00;-250.00;Expenses;CASH;Cash;angels burger;2025-06-09 17:15:00;;;;0;false;;;1003;false
